tag	consumer_complaint_narrative
comment	Es un hotel moderno y todo flamantemente nuevo .
comment	Lo que más me gustó fue el personal.
complaint	Habitación pequeña
comment	La atencion del personal de recepcion fue exelente!!
comment	Excelentes ambientes dentro del hotel.
comment	Recomendado
comment	luminoso.
comment	Muy bueno
complaint	El personal de recepción PESIMO.
complaint	La llave me funcionaba para dos días, luego tenía que reactivarla para poder abrir mi habitación
comment	El personal muy amable.
complaint	No se que hacer salen artas cosas en la carpeta peor que hago con eos para jugar???
comment	Muy mal servicio
comment	Los bombones de cortesia
complaint	Muy chica la habitación.
comment	Todo bien
comment	La atención del personal
comment	La Habitación era gigante y sileciosa
comment	Es un hotel muy bueno, bien situado, limpio y con buen servicio.
comment	El personal es correcto.
comment	Bien situado en la plaza del ayuntamiento y un personal amable.
complaint	Hacia frio y no habia calefaccion en la habitacion
comment	Apartamento lujoso y cómodo.
complaint	La habitación tenía humedad.
comment	Excelente trato de todo el personal.
comment	Su buicación perfecta.
meaningless	bueno mi cel es marca Samsung Galaxi J7....
comment	La cama excelente
comment	La distribución del piso muy buena.
comment	Excelente ubicacion, muy buenas habitaciones, amplias y modernas.
comment	Muy buena cama y almohadas. Una ducha enorme
comment	El desayuno era continental y fuera del hotel.
complaint	Piscina no climatizada.
comment	El desayuno impecable y las instalciones en su todo super agradables.
comment	la cama esta muy bien
comment	Las habitaciones son buenas y sobre todo la limpieza.
comment	Excelentes vistas y muy práctica ubicación para viajes de negocios en Gangnam
comment	La utilizo desde hace años y nunca me ha fallado.
complaint	el agua de la ducha se sale hacia el excusado.
comment	El servicio ha mejorado bastante sobre todo el personal de cafeteria.
comment	La ubicación muy buena y super atentos
comment	Todo. Es muy agradable y tambien muy recomendable.
comment	Tranquilo y moderno.
comment	Desayuno fuet de los mejores.
comment	Que hacen buen trabajo para todos lis Usuarios que los siguen a todos Ud..Cuidense una chilenita
comment	TODO el personal muy atento, cordial y educado.
comment	Buenos gráficos
comment	Excelente desayuno, ubicación inmejorable, en pleno Gangnam, a la vuelta de todo.
comment	Ubicacion cerca de cine y restaurantes
complaint	No da para muchas duchas seguidas (aunqeu te avisan previamente)
comment	El hotel es funcional, tienes lo que necesitas para una estamcia comoda y muy tranquila.
comment	Ligerisimo! No por algo es una pluma.
comment	Amables y atentos.
comment	Todo me gustó, el servicio es excelente, el trato del personal, se esmeran realmente porque estés bien, viajó con mi bebe y todo lo que he necesitado para El me lo han conseguido amablemente.
comment	Deben conocer la terraza del último piso, cuenta con bar y tiene una linda vista.
comment	DESAYUNO Y TERRAZA MUY LINDAS
comment	Lo demas está perfecta premium no me quejo, solo como mejora!
comment	Me gustó la ubicación del hotel, la cantidad de elevadores, el servicio de desayuno incluido y todo estuvo muy a gusto.
request	¿Porque no lo pueden dejar en una sola aplicación? O al menos tener la opción.
comment	El personal muy agradable y las instalaciones bonitas y comodas.
comment	El desayuno excelente.
comment	El aseo perfecto.
comment	Su ubicacion es excelente, en una zona de muchos bares y restaurantes.
comment	El desayuno es excelente y siempre fresco.
comment	Excelente ubicación, al lado del centro comercial de la Illa y del Corte Inglés de Diagonal.
comment	Supero las expectativas buena piscina
comment	Todo fue muy bien
comment	Comercios muy cercanos y restaurantes de buen nivel.
comment	Adiocionalmente, que algunos rooms tienen hasta sauna.
bug	O te carga pero no te carga las playlists, las busquedas..etc.
comment	Muy bien
complaint	El baño muy antiguo y sin productos.
comment	el confort del hotel y el valor del alojamiento
complaint	El personal que nos hizo el check in no estubo muy atento y el concierge que nos atendio el domingo no tenia ni idea de la ciudad/resturantes.
comment	La ubicación es excelente y el hotel es lindo
comment	Muy cómoda la amplitud de la habitación y bonito el estilo del hotel.
complaint	El aire acondicionado de la habitación no enfriaba adecuadamente.
complaint	Desde la administracion se ofrecio meddia estadia mas o una cena en forma de compenzacion, pero el fin de semana de descanso ya estaba arruinado.
complaint	Creo es demasiado caro para lo que es.
comment	Atención y limpieza muy bien.
complaint	podrían mejorar la limpieza y mantención de la habitación, el baño se tapó.
comment	el desayuno excelente y el personal super-amable.
comment	El servicio del personal, la ubicación y el confort del hotel.
comment	DESAYUNO MUY BUENO, PERSONAL MUY AMABLE.
comment	Ubicación, personal, limpieza
comment	El desayuno buffet, bien, nada impresionante.
comment	Es el desayunador más espectacular que haya visto.
bug	lentitud y cuelgues en cuanto le exiges un poco
complaint	El desayuno podría mejorarse
comment	Más q recomendable.
complaint	El elevador muy chico
comment	Destaco la atencion de su gente , su buena cocina y vajilla, Altamente recomendable
request	DESDE LA ULTIMA ACTUALIZACION NO SE PUEDE ENTRAR SOLO SALE CARGANDO ESTA TOTALMENTE FEO EL SISTEMA LA APLICACIÓN NO RESPONDE ASI QUE ARREGLEN ESTA PENDEJADA O SOLO TOCARA DESINTALARLO SI ESTO SIGUE ASI
complaint	HABITACION MUY PEQUEÑA PARA SER 4 ESTRELLAS, DEJABA QUE DESEAR LA LIMPIEZA, MEJOR NO MIRAR EL SUELO.
comment	La decoración muy cuidada.
comment	El personal muy amable y atento, y la habitación preciosa.
complaint	El agua caliente y fría en la ducha era un poco difícil de regular.
comment	EL SERVICIO AL CLIENTE
comment	El restaurante, la cena estuvo deliciosa
comment	La ubicación es buena pues el barrio es el mejor de Lima (San Isidro), hay acceso a taxis a la puerta y y buenos restaurantes cerca.
comment	Muy buen alijamiento.
comment	El servicio, la atención del personal, las instalaciones, el desayuno y la ubicación.
comment	Si es bn hasta lo tengo en mi propio celular por q mi hija me pidió la tablet jajajjajsj
request	* Las escaleras de evacuación deben tener citófonos, ya que al no poder abrirse por dentro, se corre riesgo de encierro.
comment	Por ser genius nos dieron pisco sour de bienvenida, buenísimo! El desayuno también, de los mejores que me han tocado sobre todo por el precio del hotel.
comment	Siempre muy atentos.
comment	La cama, muy cómoda y la ubicación.
complaint	Desayuno muy bueno, pero era lo mismo toooodos los dias.
comment	Muy bien situado.
request	Una cama más grande
comment	Muy recomendable.
comment	Los restaurantes de abajo
request	Nose puden mandar mensajes largos por que se cierra la app eso no es bueno arreglenlo
comment	Es un hotel elegante y moderno.
comment	Me encanta Snapchat porque es una aplicación en donde nos podemos expresar además de la sesión de bitmoji donde podemos crear nuestro propio emoji
comment	Sin dudas volveria.
complaint	El desayuno, sin opciones españolas y poco variado.
complaint	El jugo falso de pomelo y naranja del desayuno, tampoco buen gusto en la elección del color de la placa de pared al salir del ascensor (rosa) podría ser naranja tenue o azul francés...
complaint	Asimismo, las almohadas demasiado blandas.
comment	Excelente limpieza y comodidad, todo muy al detalle.
complaint	Muy mal ese aspecto
comment	Los servicios del hotel en el área executive son de primer nivel y todas las instalaciones.
comment	Educación, trato impecable, ubicación.
comment	el barrio excelente
comment	ocupa poco mas de un mega
complaint	La recepcionista de la noche no tenia muchas ganas de trabajar.
comment	Todo bien
comment	El Buffet del desayuno normal, el detalle que el zumo de naranja natural.
meaningless	Me hospede con mi hermana en una habitación doble.
complaint	El BlackOut de los ventanales estaba roto en los bordes.
comment	ME gusto mucho su decoración moderna en un edificio antiguo y clásico .
comment	Lo que más me gustó fue el brunch del domingo con opera.
complaint	La insonorización de la habitación que me dieron era muy mala, por suerte me hospedé un fin de semana donde el tráfico no era tanto pero se escuchaban los gritos en la calle.
complaint	Atendían por obligación, no por vocación de servicio.
comment	Muy confortable.
comment	Desayuno adecuado.
comment	Habitacion amplia,comoda, limpia y luminosa.
request	EL UNICO DETALLE ES QUE NO OFRECEN TRANSFER DESDE/ HASTA EL AEROPUERTO SIN CARGO LO QUE HARIA QUE TENGA UN SERVICIO PERFECTO( OFRECEN ESTE SERVICIO PERO ES CON CARGO Y NO ES MUY BARATO).
comment	Que es un hotel con una decoración moderna, tipo minimalista .
comment	Buen desayuno y agradable salón.
complaint	No es la mejor area, pero esta bien a unas cuadras cambia.
comment	Excelente opción para parar en Buenos Aires.
comment	Buena opción tanto para ir a picotear como para una copa afterwork
comment	Todo hermoso. Bello hotel
comment	Lo mejor que tiene es el diseño y la ambientacion de todos los espacios.
comment	Acudí con mi pareja con el objetivo de disfrutar de la ciudad.
complaint	El solarium es anecdótico e incómodo.
comment	Volveremos pronto.
comment	El desayuno es una locura, hay de todo, un bufete genial.
comment	Desayuno buffet correcto.
comment	Son muy serviciales.
complaint	Para una estancia de dos días, nos resultó incómodo.
comment	Con respecto a las conexiones esta genial, hay estación d metro muy cerca y 2 centros comerciales con sitios para comer.
complaint	La carta del restaurante es muy limitada y poco flexible.
comment	Excelente trato, tranquilo, discreto y muy personal a pesar de no estar hospedada allí.
comment	El baño es muy amplio y ofrece excelentes comodidades.
comment	Las habitaciones muy cómodas
comment	Nada me ha desagradado.
comment	La habitación era bastante cómoda
comment	Muy buena relación calidad/precio.
complaint	En el baño sólo teníamos 2 gel y 2 champú.
complaint	La comida del restaurante del primer piso del hotel nos decepcionó un poco.
comment	La zona es para jóvenes con ganas de salir x la noche.
comment	La habitación que nos dieron era superior a la concertada y muy bonita.
comment	la ubicación muy buena,la habitación es amplia
comment	La ubicacion inmejorable.
request	Le daría 5 estrellas si tuviera funciones más dinámicas.
comment	Lo recomiendo.
complaint	Bastante caro.
comment	Al hacer el check-in me regalaron un ticket para una bebida en sl bar.
comment	La calidad sin conexión es bastante buena, y si no eres premium no es recomendable escuchar música con datos, a no ser q tengas muchos gigas y te sobren.
comment	No hay nada negativo
comment	Excelente opción para los q tenemos poco tiempo en conexión con otro destino.
comment	- Te permite escoger entre distintas rutas para organizar tus recorridos
comment	El hotel esta muy bien equipado, habitaciones comodas.
comment	El desayuno muy rico y variado, las medias lunas lo mejor.
comment	Recomendable 100%
comment	Hotel muy recomendable.
comment	Tenia de todo, como si estuvieras en casa.
request	Me hubiera gustado que el baño tuviera bañera (y si fuera yacusi ni hablar).
comment	Buenisisisisma
comment	Genial.
comment	El desayuno bueno.
complaint	Un poco de demora en el White bar para almorzar y un poco de demora para hacer el check out
comment	Muy cómodo.
comment	El personal muy atento y dedicado
comment	Muy recomendable
comment	El hotel esta muy cerca del aeropuerto y el servicio del shuttle es bueno.
comment	Muy confortable.
complaint	Poca variada, jugo artificial y de muy mal gusto, lugar pequeño para la demanda de gente.
comment	El baño con jacuzzi i doble ducha con muchas amenities.
comment	Repetiria
complaint	Las habitaciones no son insonoras.
comment	Muy comoda la cama
comment	Esta buenisima porqué puedes hacer llamadas,mensajear ETCÉTERA y la nueva actualizacion también esta muy padre
comment	Una excelente aplicación para los más melómanos.
complaint	es muy simple para mi gusto y para lo costoso del hotel ...
meaningless	Íbamos buscando un hotel para descansar...
comment	Ya no hace falta aplicar el parxe entre otras cosas.
complaint	Cero en amenities.
comment	Muy buena
comment	La atención estupenda y tiene una pequeña cocina y comedor por si te quieres tomar algo.
comment	Tranquilo.
comment	TODO ME GUSTO
complaint	La sabana de abajo se salia todo el tiempo y quedaba el colchon descubierto.
comment	A una cuadra de parque 93.
comment	El personal del hotel excepcional, muy atentos a todo lo que pudiéramos necesitar y con un trato hacia los niños espectacular.
comment	Apartamento muy bien.
comment	Muy bien servicio
complaint	Un poco de mal olor en el sanitario.
comment	El hotel es precioso y acogedor.
comment	muy chulo
complaint	EL RESTAURANT NO ESTA HABILITADO POR LA NOCHE.
complaint	Para no volver!
comment	Muy buena atención.
comment	Muy buena atención de parte del personal del hotel.
comment	Para repetir.
comment	Desde alli se puede visitar todo valencia.
comment	Excelente el servicio de recepción y mozos del desayuno, todos muy amables.
comment	Muy atento el personal.
complaint	La recepción SPG pobre en calidad de atención y cumplimiento de lo acordado.
comment	El hotel muy bonito.
comment	Cócteles muy buenos, atención genial y precios bastante razonables.
complaint	La habitacion un poco pequeña
comment	Atención personal muy buena.
complaint	Además el carril divisor de la piscina estaba extremadamente sucio, hasta parecía blanco de lo sucio en vez de sus colores originales.
comment	Recomendable 100%
complaint	el hotel por afuera parece excelente, el lobby parece de las vegas, pero las habitaciones son mediocres.
comment	Fiesta, ejercicio y spa en un solo lugar!!
comment	Muy cómodas, impecables las camas, muy completos los servicios.
complaint	La pileta es pequeñisima y le falta aseo.
complaint	La tardanza para pedir taxi
comment	El personal es muy amable.
comment	El buen trato
comment	La atención del personal y del propietario, la seguridad que hay en el Hotel, la limpieza y sobre todo las camareras respetaron mi orden y mis cosas, la muy buena predisposición del personal que a mi pedido, me servieron el desayuno 1 hora más temprano que lo habitual durante mi estancia.
comment	No hay otra aplicación igual.
bug	Pero últimamente viene funcionando mal
comment	Muy cómodo, súper buenas las instalaciones, buenísima la atención
comment	Muy amable la atención del personal.
comment	El hotel está bien ubicado, a cuatro cuadras del distrito comercial Arcos, y muy cerca de bares y restaurantes.
comment	Personal muy amable y dispuesto a ayudar.
complaint	No había variedad sobretodo teniendo en cuenta el costo del hotel.
complaint	El ruido es bastante molesto, imposible dormir con la ventana abierta
comment	El hotel esta lleno de detalles bonitos y la ubicación es excelente.
comment	Todo excelente, el desayuno muy completo y rico.
complaint	El agua caliente tarda en salir
comment	La cama y el espacio de la habitación
comment	Todo con un estilo muy moderno y ordenado.
comment	El desayuno es delicioso, la piscina es muy chevere
bug	La reproduccion de paginas como Myspace o Youtube fallan
comment	Volveria sin dudarlo.
comment	Esta bien
complaint	El wifi muy malo en todo el hotel Los masajes del spa no fueron de los mejores
complaint	El hotel está muy bien, nuevo y muy cómodo pero alejado de la zona centro
comment	El desayuno excelente.
comment	Calidad.
request	SOLUCIONEN.
complaint	$ 100 un agua mineral ..... (caro innecesariamente, caro por "deporte")
comment	Un diez
comment	Habitación muy grande.
comment	La ubicacion es perfecta y mas si tenes que hacer tramites de visa a ee.uu
comment	Muy recomendable.
comment	UBICACIO EXCELENTE
comment	Lo mejor es la ubicación , es muy buena , ya que queda a media cuadra de la gran vía .
comment	Volvería feliz!
comment	Trato amable.
comment	En todo momento se refieren a los pasajeros por su nombre.
comment	Muy buen hotel, buenos servicios y excelente terraza
comment	Excelente hotel , el mejor
complaint	La limpieza no está incluida.
comment	Atención exquisita de su personal que hace que te sientas incluso mejor que en casa.
request	Pues le falta más hojala u se pudiera cambiar el color
complaint	La ubicacion de los enchufes muy lejos de la cama.
comment	Desayuno muy bueno y completo.
complaint	Una pena tener un hotel tan bien pero con un personal cara al público poco entrenado.
complaint	un poco desordenado.
complaint	las almohadas, son enormes, poco manipulables, duras y altas y todas iguales....
complaint	Nos avisaron antes de las 12:00 para que saliesemos de la habitación.
comment	La posibilidad de pagar vía app es un acierto :)
comment	Cómoda
complaint	el ruido del aire acondicionado en la terraza
comment	El servicio es muy bueno y tal vez el restaurante podría tener una mejor oferta
comment	ubicacion buen desayuno
comment	A la mañana nos sorprendieron en nuestra puerta con una bolsa con facturas, botellas de agua, fruta y servilletas!!
comment	Me he quedado en más de una vez en este hotel y tengo que decir que la atención cada vez es mejor.
comment	todo es excelente
request	Alguien me podría decir que hago?
comment	Excelente ubicación y el cuarto es muy cómodo.
comment	Habitaciones limpias y amplias, muy buena atención del personal y correcto precio.
comment	Bar restaurante con terraza y unas vistas increíbles de la ciudad y la catedral.
comment	Muy bien ubicado, nuevo y a un precio razonable.
comment	Me gustó mucho el detalle de dejarnos de obsequio frutos secos, patatas, agua, café, té.
complaint	Las cortinas dejan pasar demasiada luz y en Corea amanece a las 5 de la madrugada.
comment	el desayunador con una vista al patio divina...
complaint	El baño también lo encontré chico.
comment	Cerca de todo, restaurantes y bares, cementerio de la recoleta, shopping, etc.
complaint	El check out muy estricto
request	El baño deberían modernizarlo: ducha efecto lluvia o columna hidro mejor que la bañera actual.
comment	Está muy bien ubicado.
comment	84 DC es un hotel cómodo y muy bien ubicado.
complaint	Las cañerías no funcionaban muy bien, ya que al drenar la bañera, se llenó de agua el piso, lo que se reflejaba en el problema de pérdida que había en la recepción.
comment	La ubicación es buena, hay variedad de restaurants y bares en la zona
complaint	El problema es que no hay estacionamiento.
complaint	El mesero solo ha mi me pidio dos veces confirmacion de que si estababa alojada en el hotel, como si fuese imposible q alguien como yo tubiera acceso al hotel, no entendi sus razones y no las pedi solo me amargo la velada aunq por educación lo deje ir, pero fue descriminacion ya q no vi q le hiciera la misma pregunta a todos y q tiene que ver mi reserva con si puedo o no pagar una cena en su restaurante no tiene ni medallas Michelín.
comment	Todo ! Excelente atención, excepcional comida.
comment	Lo recomiendo de todas maneras
comment	La ubicación es IDEAL!!!
comment	Muy lindo hotel.
comment	Todo muy bien
comment	Buena atención.
comment	Excelente ubicación.
comment	Desayuno muy bueno.
complaint	El gimnasio es muy pequeño
comment	Recomendable totalmente.
request	puedes poner un acceso en la pantalla de bloquep seria mucho mas fácil de usar la app ;v
comment	Volveré.
comment	También es muy fácil de llegar caminando a los bosques de Palermo.
comment	Ubicación excelente en Miraflores, se puede caminar a muchos lugares interesantes.
comment	Buena atención y disposición, no tuvimos problemas en hacer late check out cuando lo solicitamos.
comment	El chocolate caliente del desayuno es Imperdible!! la zona en la que se ubica es muy buena, cerca de bares, restaurantes y centros comerciales; todos a walking distance
comment	La comida en el restaurante es de muy buena calidad y el servicio muy atento.
comment	Muy bien ubicado, cerca de restaurantes y tiendas.
complaint	Es lujoso como todos los WJ Marriot, pero podría ser mucho mejor.
complaint	El hotel esté un poco viejo.
complaint	El desayuno es muy bueno, tal vez un poco caro
comment	El desayuno está muyyy bien, los panes frescos, las frutas también.
comment	El desayuno con mucha variedad de productos tanto de alimentos fríos y calientes.
complaint	El desayuno bufete esta bastante bien, mucha cantidad aunque no mucha variedad.
comment	Todo estaba perfecto , x lo tanto no tengo queja alguna.
comment	A la salida también encontramos una mesa con cositas para un desayuno flash.
comment	El personal que en todo momento te solucionaba los problemas propios de un turista
comment	El restaurant y el rooftop bar son muy buenas opciones para comer/tomar algo.
comment	EXCELENTE!!
comment	Las habitaciones son realmente cómodas con Todo lo que necesitas, el mini bar perfecto (gratis)
comment	Terraza muy agradable .
complaint	tuvimos que esperar la habitacion una hora...(llegamos 16 hs y nos la entregaron a las 17hs) las zonas comunes están un poco cansadas.....
comment	Muy limpio.
complaint	La ventana de la habitación daba a una escalera, es inaceptable en un hotel de 4 estrellas.
comment	Creo que no se puede pedir más.
comment	Todome gusto
comment	La ducha excelente.
complaint	el sitio muy bien pero por hotel de 4 estrella..la habitacion muy pequeño y hace un ruido no se de que es..pero no te dejan dormir toda la noche..y estoy recien salido de hospital.
comment	Excelente ubicación, muy buenas instalaciones y lo que más lo diferencia.
comment	Ubicacion muy buena.
comment	Salones muy lujosos, antiguos y bellamente decorados.
comment	Por ejemplo esta de contar el ritmo cuando haces runing y poner música acorde es genial.
comment	TODO EXCELENTE
comment	Camas muy cómodas, y la comida exquisita, gran variedad para desayunar.
comment	Volveré, sin duda.
comment	Área segura y buenos restaurantes en la zona.
comment	Habitaciones muy amplias de doble piso con doble baño individual.
comment	Habitaciones amplias y comodas, excelente atencion y muy buenas zonas humedas.
complaint	Al final con mi marido teniamos una pequeña sensación de falta de privacidad.
comment	Buena comida buen clima
comment	El spa magnifico
comment	El servicio bueno.
complaint	En esta ocasión no me gustaron muchas cosas.
comment	El hotel en general fenomenal
request	Mejorar el gimnasio
complaint	Un día no hubo jabón en ninguno de los dispensers del toillete del desayuno.
complaint	No confiable.
comment	Excelente la calidad del desayuno y el jardín de invierno donde lo servíaan
complaint	Además el mango de la ducha estaba roto y el agua salia sin fuerza.
complaint	El personal ya no está tan atento desde que NH lo lleva.
comment	Hay que experimentarlo.
comment	Me encanto la atención del personal, mi esposa y mis hijos quedaron feliz con todo.
comment	Pesa menos de 200MB
comment	Las habitaciones son realmente cómodas, y el desayuno es muy variado.
comment	La habitación es preciosa, el baño tiene un diseño muy bueno y el personal muy atento.
comment	La atención del personal , es exelente Es lo que más destacó La ubicación inmejorable
complaint	Faltaba personal
comment	A dos cuadras de Puerta del Sol, dos cuadras de Tirso de Molina, 4 cuadras de Plaza Mayor.
comment	Lo que más me gusto la comodidad de las camas.
comment	Todo estaba limpio, y a fondo.
comment	Todo excelente.
comment	Me alojo normalmente en este hotel en mis visitas a la ciudad de Bogotá.
comment	Para recomendar
comment	Todo muy práctico y organizado La mejor zona de Bogotá
comment	Excelente.
complaint	Malos entendidos por cobros extras, mala disposición para solucionar el problema directamente, tuve que verlo con booking.
comment	Muy bien situado.
complaint	El volumen del televisor muy bajo.
comment	Excelente atención por parte de las personas de la recepción.
comment	Estamos encantados.
complaint	Al personal de recepción le falta cortesía con el cliente.
complaint	La limpieza del baño dejaba que desear.
comment	Ademas el hotel se encuentra muy bien situado.
complaint	Comida correcta, duchase le sale todo el agua, no está bien sellada la mampara y es muy corta, baño con olor fuerte a drenaje.
complaint	el desayuno podria ser mejor
complaint	el desayuno , muy poco sano y tostadas viejas mmmmm¡¡
comment	Buen desayuno.
comment	Ahora si les regalo las 5 estrellas, al fin pusieron la publicidad en otra pestaña, felicitaciones.
complaint	Abrimos el cajetin de la lavadora y tenía un pedrusco de detergente del lavado anterior...
comment	La ubicación es muy buena, el personal muy amable
comment	Muy recomendado
complaint	El hotel es viejo se llena de viejos, atendido por viejos .
comment	Volveremos a ir!
